feature,importance
f0,116.73112487792969
f1,148.84686279296875
f2,116.93421936035156
f3,118.3600845336914
f4,66.01560974121094
f5,106.57901000976562
f6,97.58856964111328
f7,114.9727783203125
f8,229.64495849609375
f9,85.343017578125
f10,812.4752807617188
f11,311.1075134277344
f12,150.6576385498047
f13,52.038856506347656
f14,159.6027374267578
f15,114.39330291748047
f16,78.67627716064453
f17,179.19100952148438
f18,115.52996826171875
f19,262.6689453125
f20,98.62567901611328
f21,227.36109924316406
f22,53.03789138793945
f23,258.7945251464844
f24,130.15786743164062
f25,141.9897003173828
f26,110.64129638671875
f27,111.39420318603516
f28,145.7774658203125
f29,148.69781494140625
f30,143.41204833984375
f31,143.79415893554688
f32,154.73692321777344
f33,162.7556610107422
f34,417.84893798828125
f35,170.3441619873047
f36,134.28326416015625
f37,149.30078125
f38,65.15116119384766
f39,63.09534454345703
f40,173.06690979003906
f41,166.55105590820312
f42,170.3939971923828
f43,140.6837615966797
f45,57.44667434692383
f46,140.64752197265625
f47,33.697566986083984
f48,144.83741760253906
f49,175.42356872558594
f50,101.57280731201172
f51,158.66941833496094
f52,286.06494140625
f53,156.1834716796875
f54,140.0999298095703
f55,162.38507080078125
f56,151.34976196289062
f57,86.06580352783203
f58,47.69976043701172
f59,92.7252426147461
f60,192.45742797851562
f61,87.40005493164062
f62,328.15618896484375
f63,285.44744873046875
f64,319.6493225097656
f65,156.76510620117188
f66,144.21664428710938
f67,91.8067398071289
f68,266.95428466796875
f69,112.84961700439453
f70,245.54554748535156
f71,101.13716888427734
f72,164.65757751464844
f73,118.15911865234375
f74,91.70063781738281
f75,125.35832977294922
f76,142.27102661132812
f77,100.28903198242188
f78,123.13275146484375
f79,105.50751495361328
f80,112.71118927001953
f81,100.35444641113281
f82,121.38957977294922
